[DEBUG] 2018-10-16 22:05:44.370 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2018-10-16 22:05:44.378 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2018-10-16 22:05:44.399 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2018-10-16 22:05:44.726 [main] Version - HHH000412: Hibernate Core {5.2.12.Final}
[INFO ] 2018-10-16 22:05:44.728 [main] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2018-10-16 22:05:44.836 [main] LocalXmlResourceResolver - Interpreting public/system identifier : [-//Hibernate/Hibernate Configuration DTD//EN] - [http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd]
[DEBUG] 2018-10-16 22:05:44.837 [main] LocalXmlResourceResolver - Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
[DEBUG] 2018-10-16 22:05:44.856 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2018-10-16 22:05:45.298 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2018-10-16 22:05:45.336 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2018-10-16 22:05:45.344 [main] Version - HCANN000001: Hibernate Commons Annotations {5.0.1.Final}
[DEBUG] 2018-10-16 22:05:45.365 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@6950ed69
[DEBUG] 2018-10-16 22:05:45.365 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@6950ed69
[DEBUG] 2018-10-16 22:05:45.365 [main] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@6950ed69
[DEBUG] 2018-10-16 22:05:45.366 [main] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@189cbd7c
[DEBUG] 2018-10-16 22:05:45.367 [main] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@6aa8e115
[DEBUG] 2018-10-16 22:05:45.368 [main] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@5f20155b
[DEBUG] 2018-10-16 22:05:45.369 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@1df8b5b8
[DEBUG] 2018-10-16 22:05:45.369 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@1df8b5b8
[DEBUG] 2018-10-16 22:05:45.369 [main] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@1df8b5b8
[DEBUG] 2018-10-16 22:05:45.374 [main] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@4d6025c5
[DEBUG] 2018-10-16 22:05:45.374 [main] BasicTypeRegistry - Adding type registration char -> org.hibernate.type.CharacterType@4d6025c5
[DEBUG] 2018-10-16 22:05:45.377 [main] BasicTypeRegistry - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@4d6025c5
[DEBUG] 2018-10-16 22:05:45.378 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@4f4c4b1a
[DEBUG] 2018-10-16 22:05:45.378 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@4f4c4b1a
[DEBUG] 2018-10-16 22:05:45.378 [main] BasicTypeRegistry - Adding type registration java.lang.Short -> org.hibernate.type.ShortType@4f4c4b1a
[DEBUG] 2018-10-16 22:05:45.379 [main] BasicTypeRegistry - Adding type registration integer -> org.hibernate.type.IntegerType@4fa1c212
[DEBUG] 2018-10-16 22:05:45.379 [main] BasicTypeRegistry - Adding type registration int -> org.hibernate.type.IntegerType@4fa1c212
[DEBUG] 2018-10-16 22:05:45.386 [main] BasicTypeRegistry - Adding type registration java.lang.Integer -> org.hibernate.type.IntegerType@4fa1c212
[DEBUG] 2018-10-16 22:05:45.387 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@2e32ccc5
