[DEBUG] 2018-10-16 22:29:40.698 [main] BasicTypeRegistry - Adding type registration ncharacter -> org.hibernate.type.CharacterNCharType@7674b62c
[DEBUG] 2018-10-16 22:29:40.699 [main] BasicTypeRegistry - Adding type registration url -> org.hibernate.type.UrlType@327af41b
[DEBUG] 2018-10-16 22:29:40.699 [main] BasicTypeRegistry - Adding type registration java.net.URL -> org.hibernate.type.UrlType@327af41b
[DEBUG] 2018-10-16 22:29:40.700 [main] BasicTypeRegistry - Adding type registration Duration -> org.hibernate.type.DurationType@30bce90b
[DEBUG] 2018-10-16 22:29:40.701 [main] BasicTypeRegistry - Adding type registration java.time.Duration -> org.hibernate.type.DurationType@30bce90b
[DEBUG] 2018-10-16 22:29:40.735 [main] BasicTypeRegistry - Adding type registration Instant -> org.hibernate.type.InstantType@50dfbc58
[DEBUG] 2018-10-16 22:29:40.739 [main] BasicTypeRegistry - Adding type registration java.time.Instant -> org.hibernate.type.InstantType@50dfbc58
[DEBUG] 2018-10-16 22:29:40.740 [main] BasicTypeRegistry - Adding type registration LocalDateTime -> org.hibernate.type.LocalDateTimeType@1fb19a0
[DEBUG] 2018-10-16 22:29:40.740 [main] BasicTypeRegistry - Adding type registration java.time.LocalDateTime -> org.hibernate.type.LocalDateTimeType@1fb19a0
[DEBUG] 2018-10-16 22:29:40.745 [main] BasicTypeRegistry - Adding type registration LocalDate -> org.hibernate.type.LocalDateType@302f7971
[DEBUG] 2018-10-16 22:29:40.745 [main] BasicTypeRegistry - Adding type registration java.time.LocalDate -> org.hibernate.type.LocalDateType@302f7971
[DEBUG] 2018-10-16 22:29:40.751 [main] BasicTypeRegistry - Adding type registration LocalTime -> org.hibernate.type.LocalTimeType@63eef88a
[DEBUG] 2018-10-16 22:29:40.751 [main] BasicTypeRegistry - Adding type registration java.time.LocalTime -> org.hibernate.type.LocalTimeType@63eef88a
[DEBUG] 2018-10-16 22:29:40.756 [main] BasicTypeRegistry - Adding type registration OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@5a9f4771
[DEBUG] 2018-10-16 22:29:40.756 [main] BasicTypeRegistry - Adding type registration java.time.OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@5a9f4771
[DEBUG] 2018-10-16 22:29:40.758 [main] BasicTypeRegistry - Adding type registration OffsetTime -> org.hibernate.type.OffsetTimeType@258d79be
[DEBUG] 2018-10-16 22:29:40.762 [main] BasicTypeRegistry - Adding type registration java.time.OffsetTime -> org.hibernate.type.OffsetTimeType@258d79be
[DEBUG] 2018-10-16 22:29:40.771 [main] BasicTypeRegistry - Adding type registration ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@7fcf2fc1
[DEBUG] 2018-10-16 22:29:40.771 [main] BasicTypeRegistry - Adding type registration java.time.ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@7fcf2fc1
[DEBUG] 2018-10-16 22:29:40.773 [main] BasicTypeRegistry - Adding type registration date -> org.hibernate.type.DateType@479ceda0
[DEBUG] 2018-10-16 22:29:40.773 [main] BasicTypeRegistry - Adding type registration java.sql.Date -> org.hibernate.type.DateType@479ceda0
