[DEBUG] 2018-10-16 22:02:19.945 [main] BasicTypeRegistry - Adding type registration ncharacter -> org.hibernate.type.CharacterNCharType@1c852c0f
[DEBUG] 2018-10-16 22:02:19.946 [main] BasicTypeRegistry - Adding type registration url -> org.hibernate.type.UrlType@24c4ddae
[DEBUG] 2018-10-16 22:02:19.946 [main] BasicTypeRegistry - Adding type registration java.net.URL -> org.hibernate.type.UrlType@24c4ddae
[DEBUG] 2018-10-16 22:02:19.951 [main] BasicTypeRegistry - Adding type registration Duration -> org.hibernate.type.DurationType@6a57ae10
[DEBUG] 2018-10-16 22:02:19.952 [main] BasicTypeRegistry - Adding type registration java.time.Duration -> org.hibernate.type.DurationType@6a57ae10
[DEBUG] 2018-10-16 22:02:20.027 [main] BasicTypeRegistry - Adding type registration Instant -> org.hibernate.type.InstantType@27508c5d
[DEBUG] 2018-10-16 22:02:20.031 [main] BasicTypeRegistry - Adding type registration java.time.Instant -> org.hibernate.type.InstantType@27508c5d
[DEBUG] 2018-10-16 22:02:20.034 [main] BasicTypeRegistry - Adding type registration LocalDateTime -> org.hibernate.type.LocalDateTimeType@704deff2
[DEBUG] 2018-10-16 22:02:20.034 [main] BasicTypeRegistry - Adding type registration java.time.LocalDateTime -> org.hibernate.type.LocalDateTimeType@704deff2
[DEBUG] 2018-10-16 22:02:20.039 [main] BasicTypeRegistry - Adding type registration LocalDate -> org.hibernate.type.LocalDateType@a307a8c
[DEBUG] 2018-10-16 22:02:20.039 [main] BasicTypeRegistry - Adding type registration java.time.LocalDate -> org.hibernate.type.LocalDateType@a307a8c
[DEBUG] 2018-10-16 22:02:20.059 [main] BasicTypeRegistry - Adding type registration LocalTime -> org.hibernate.type.LocalTimeType@389c4eb1
[DEBUG] 2018-10-16 22:02:20.059 [main] BasicTypeRegistry - Adding type registration java.time.LocalTime -> org.hibernate.type.LocalTimeType@389c4eb1
[DEBUG] 2018-10-16 22:02:20.068 [main] BasicTypeRegistry - Adding type registration OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@127a7a2e
[DEBUG] 2018-10-16 22:02:20.068 [main] BasicTypeRegistry - Adding type registration java.time.OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@127a7a2e
[DEBUG] 2018-10-16 22:02:20.075 [main] BasicTypeRegistry - Adding type registration OffsetTime -> org.hibernate.type.OffsetTimeType@6d7fc27
[DEBUG] 2018-10-16 22:02:20.075 [main] BasicTypeRegistry - Adding type registration java.time.OffsetTime -> org.hibernate.type.OffsetTimeType@6d7fc27
[DEBUG] 2018-10-16 22:02:20.086 [main] BasicTypeRegistry - Adding type registration ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@7cb502c
[DEBUG] 2018-10-16 22:02:20.100 [main] BasicTypeRegistry - Adding type registration java.time.ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@7cb502c
[DEBUG] 2018-10-16 22:02:20.103 [main] BasicTypeRegistry - Adding type registration date -> org.hibernate.type.DateType@1ef6d34c
[DEBUG] 2018-10-16 22:02:20.115 [main] BasicTypeRegistry - Adding type registration java.sql.Date -> org.hibernate.type.DateType@1ef6d34c
[DEBUG] 2018-10-16 22:02:20.118 [main] BasicTypeRegistry - Adding type registration time -> org.hibernate.type.TimeType@2a225dd7
[DEBUG] 2018-10-16 22:02:20.119 [main] BasicTypeRegistry - Adding type registration java.sql.Time -> org.hibernate.type.TimeType@2a225dd7
[DEBUG] 2018-10-16 22:02:20.120 [main] BasicTypeRegistry - Adding type registration timestamp -> org.hibernate.type.TimestampType@616ac46a
[DEBUG] 2018-10-16 22:02:20.125 [main] BasicTypeRegistry - Adding type registration java.sql.Timestamp -> org.hibernate.type.TimestampType@616ac46a
[DEBUG] 2018-10-16 22:02:20.126 [main] BasicTypeRegistry - Adding type registration java.util.Date -> org.hibernate.type.TimestampType@616ac46a
[DEBUG] 2018-10-16 22:02:20.131 [main] BasicTypeRegistry - Adding type registration dbtimestamp -> org.hibernate.type.DbTimestampType@7ef27d7f
[DEBUG] 2018-10-16 22:02:20.134 [main] BasicTypeRegistry - Adding type registration calendar -> org.hibernate.type.CalendarType@1d483de4
[DEBUG] 2018-10-16 22:02:20.136 [main] BasicTypeRegistry - Adding type registration java.util.Calendar -> org.hibernate.type.CalendarType@1d483de4
[DEBUG] 2018-10-16 22:02:20.137 [main] BasicTypeRegistry - Adding type registration java.util.GregorianCalendar -> org.hibernate.type.CalendarType@1d483de4
[DEBUG] 2018-10-16 22:02:20.140 [main] BasicTypeRegistry - Adding type registration calendar_date -> org.hibernate.type.CalendarDateType@934b6cb
[DEBUG] 2018-10-16 22:02:20.147 [main] BasicTypeRegistry - Adding type registration locale -> org.hibernate.type.LocaleType@2609b277
[DEBUG] 2018-10-16 22:02:20.147 [main] BasicTypeRegistry - Adding type registration java.util.Locale -> org.hibernate.type.LocaleType@2609b277
[DEBUG] 2018-10-16 22:02:20.148 [main] BasicTypeRegistry - Adding type registration currency -> org.hibernate.type.CurrencyType@3eb81efb
[DEBUG] 2018-10-16 22:02:20.148 [main] BasicTypeRegistry - Adding type registration java.util.Currency -> org.hibernate.type.CurrencyType@3eb81efb
[DEBUG] 2018-10-16 22:02:20.157 [main] BasicTypeRegistry - Adding type registration timezone -> org.hibernate.type.TimeZoneType@5cdec700
[DEBUG] 2018-10-16 22:02:20.163 [main] BasicTypeRegistry - Adding type registration java.util.TimeZone -> org.hibernate.type.TimeZoneType@5cdec700
[DEBUG] 2018-10-16 22:02:20.168 [main] BasicTypeRegistry - Adding type registration class -> org.hibernate.type.ClassType@4b7dc788
[DEBUG] 2018-10-16 22:02:20.168 [main] BasicTypeRegistry - Adding type registration java.lang.Class -> org.hibernate.type.ClassType@4b7dc788
[DEBUG] 2018-10-16 22:02:20.171 [main] BasicTypeRegistry - Adding type registration uuid-binary -> org.hibernate.type.UUIDBinaryType@5e403b4a
[DEBUG] 2018-10-16 22:02:20.171 [main] BasicTypeRegistry - Adding type registration java.util.UUID -> org.hibernate.type.UUIDBinaryType@5e403b4a
[DEBUG] 2018-10-16 22:02:20.173 [main] BasicTypeRegistry - Adding type registration uuid-char -> org.hibernate.type.UUIDCharType@2931522b
[DEBUG] 2018-10-16 22:02:20.174 [main] BasicTypeRegistry - Adding type registration binary -> org.hibernate.type.BinaryType@16b2bb0c
[DEBUG] 2018-10-16 22:02:20.183 [main] BasicTypeRegistry - Adding type registration byte[] -> org.hibernate.type.BinaryType@16b2bb0c
[DEBUG] 2018-10-16 22:02:20.183 [main] BasicTypeRegistry - Adding type registration [B -> org.hibernate.type.BinaryType@16b2bb0c
[DEBUG] 2018-10-16 22:02:20.187 [main] BasicTypeRegistry - Adding type registration wrapper-binary -> org.hibernate.type.WrapperBinaryType@6aa61224
[DEBUG] 2018-10-16 22:02:20.187 [main] BasicTypeRegistry - Adding type registration Byte[] -> org.hibernate.type.WrapperBinaryType@6aa61224
[DEBUG] 2018-10-16 22:02:20.187 [main] BasicTypeRegistry - Adding type registration [Ljava.lang.Byte; -> org.hibernate.type.WrapperBinaryType@6aa61224
[DEBUG] 2018-10-16 22:02:20.201 [main] BasicTypeRegistry - Adding type registration row_version -> org.hibernate.type.RowVersionType@7357a011
[DEBUG] 2018-10-16 22:02:20.210 [main] BasicTypeRegistry - Adding type registration image -> org.hibernate.type.ImageType@4eaf3684
[DEBUG] 2018-10-16 22:02:20.215 [main] BasicTypeRegistry - Adding type registration characters -> org.hibernate.type.CharArrayType@39d9314d
[DEBUG] 2018-10-16 22:02:20.215 [main] BasicTypeRegistry - Adding type registration char[] -> org.hibernate.type.CharArrayType@39d9314d
[DEBUG] 2018-10-16 22:02:20.219 [main] BasicTypeRegistry - Adding type registration [C -> org.hibernate.type.CharArrayType@39d9314d
[DEBUG] 2018-10-16 22:02:20.221 [main] BasicTypeRegistry - Adding type registration wrapper-characters -> org.hibernate.type.CharacterArrayType@1bae316d
[DEBUG] 2018-10-16 22:02:20.221 [main] BasicTypeRegistry - Adding type registration [Ljava.lang.Character; -> org.hibernate.type.CharacterArrayType@1bae316d
[DEBUG] 2018-10-16 22:02:20.221 [main] BasicTypeRegistry - Adding type registration Character[] -> org.hibernate.type.CharacterArrayType@1bae316d
[DEBUG] 2018-10-16 22:02:20.222 [main] BasicTypeRegistry - Adding type registration text -> org.hibernate.type.TextType@5026735c
[DEBUG] 2018-10-16 22:02:20.222 [main] BasicTypeRegistry - Adding type registration ntext -> org.hibernate.type.NTextType@50dfbc58
[DEBUG] 2018-10-16 22:02:20.245 [main] BasicTypeRegistry - Adding type registration blob -> org.hibernate.type.BlobType@48d61b48
[DEBUG] 2018-10-16 22:02:20.245 [main] BasicTypeRegistry - Adding type registration java.sql.Blob -> org.hibernate.type.BlobType@48d61b48
[DEBUG] 2018-10-16 22:02:20.249 [main] BasicTypeRegistry - Adding type registration materialized_blob -> org.hibernate.type.MaterializedBlobType@14f9390f
[DEBUG] 2018-10-16 22:02:20.268 [main] BasicTypeRegistry - Adding type registration clob -> org.hibernate.type.ClobType@6d07a63d
[DEBUG] 2018-10-16 22:02:20.268 [main] BasicTypeRegistry - Adding type registration java.sql.Clob -> org.hibernate.type.ClobType@6d07a63d
[DEBUG] 2018-10-16 22:02:20.277 [main] BasicTypeRegistry - Adding type registration nclob -> org.hibernate.type.NClobType@56c4278e
[DEBUG] 2018-10-16 22:02:20.278 [main] BasicTypeRegistry - Adding type registration java.sql.NClob -> org.hibernate.type.NClobType@56c4278e
[DEBUG] 2018-10-16 22:02:20.285 [main] BasicTypeRegistry - Adding type registration materialized_clob -> org.hibernate.type.MaterializedClobType@341814d3
[DEBUG] 2018-10-16 22:02:20.285 [main] BasicTypeRegistry - Adding type registration materialized_nclob -> org.hibernate.type.MaterializedNClobType@1bd39d3c
[DEBUG] 2018-10-16 22:02:20.287 [main] BasicTypeRegistry - Adding type registration serializable -> org.hibernate.type.SerializableType@455b6df1
[DEBUG] 2018-10-16 22:02:20.310 [main] BasicTypeRegistry - Adding type registration object -> org.hibernate.type.ObjectType@74a6f9c1
[DEBUG] 2018-10-16 22:02:20.310 [main] BasicTypeRegistry - Adding type registration java.lang.Object -> org.hibernate.type.ObjectType@74a6f9c1
[DEBUG] 2018-10-16 22:02:20.310 [main] BasicTypeRegistry - Adding type registration imm_date -> org.hibernate.type.AdaptedImmutableType@63611043
[DEBUG] 2018-10-16 22:02:20.310 [main] BasicTypeRegistry - Adding type registration imm_time -> org.hibernate.type.AdaptedImmutableType@20ca951f
[DEBUG] 2018-10-16 22:02:20.310 [main] BasicTypeRegistry - Adding type registration imm_timestamp -> org.hibernate.type.AdaptedImmutableType@2d778add
[DEBUG] 2018-10-16 22:02:20.311 [main] BasicTypeRegistry - Adding type registration imm_dbtimestamp -> org.hibernate.type.AdaptedImmutableType@73302995
[DEBUG] 2018-10-16 22:02:20.311 [main] BasicTypeRegistry - Adding type registration imm_calendar -> org.hibernate.type.AdaptedImmutableType@1838ccb8
[DEBUG] 2018-10-16 22:02:20.320 [main] BasicTypeRegistry - Adding type registration imm_calendar_date -> org.hibernate.type.AdaptedImmutableType@6c2ed0cd
[DEBUG] 2018-10-16 22:02:20.320 [main] BasicTypeRegistry - Adding type registration imm_binary -> org.hibernate.type.AdaptedImmutableType@7d9e8ef7
[DEBUG] 2018-10-16 22:02:20.324 [main] BasicTypeRegistry - Adding type registration imm_serializable -> org.hibernate.type.AdaptedImmutableType@f107c50
[INFO ] 2018-10-16 22:02:20.361 [main] C3P0ConnectionProvider - HHH010002: C3P0 using driver: com.mysql.jdbc.Driver at URL: jdbc:mysql://localhost:3306/test_VetHunHelping
[INFO ] 2018-10-16 22:02:20.364 [main] C3P0ConnectionProvider - HHH10001001: Connection properties: {user=root, password=****}
[INFO ] 2018-10-16 22:02:20.364 [main] C3P0ConnectionProvider - HHH10001003: Autocommit mode: false
[INFO ] 2018-10-16 22:02:20.839 [main] C3P0ConnectionProvider - HHH10001007: JDBC isolation level: <unknown>
