[DEBUG] 2018-10-31 20:07:43.199 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration java.math.BigDecimal -> org.hibernate.type.BigDecimalType@5a5c784e
[DEBUG] 2018-10-31 20:07:43.205 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration big_integer -> org.hibernate.type.BigIntegerType@3efa368a
[DEBUG] 2018-10-31 20:07:43.205 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration java.math.BigInteger -> org.hibernate.type.BigIntegerType@3efa368a
[DEBUG] 2018-10-31 20:07:43.206 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration string -> org.hibernate.type.StringType@47c55695
[DEBUG] 2018-10-31 20:07:43.206 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration java.lang.String -> org.hibernate.type.StringType@47c55695
[DEBUG] 2018-10-31 20:07:43.206 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration nstring -> org.hibernate.type.StringNVarcharType@6c4eeac2
[DEBUG] 2018-10-31 20:07:43.207 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration ncharacter -> org.hibernate.type.CharacterNCharType@102b958f
[DEBUG] 2018-10-31 20:07:43.208 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration url -> org.hibernate.type.UrlType@606e99dc
[DEBUG] 2018-10-31 20:07:43.208 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration java.net.URL -> org.hibernate.type.UrlType@606e99dc
[DEBUG] 2018-10-31 20:07:43.210 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration Duration -> org.hibernate.type.DurationType@762be920
[DEBUG] 2018-10-31 20:07:43.210 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration java.time.Duration -> org.hibernate.type.DurationType@762be920
[DEBUG] 2018-10-31 20:07:43.238 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration Instant -> org.hibernate.type.InstantType@1eb92634
[DEBUG] 2018-10-31 20:07:43.239 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration java.time.Instant -> org.hibernate.type.InstantType@1eb92634
[DEBUG] 2018-10-31 20:07:43.241 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration LocalDateTime -> org.hibernate.type.LocalDateTimeType@7561b48c
[DEBUG] 2018-10-31 20:07:43.241 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration java.time.LocalDateTime -> org.hibernate.type.LocalDateTimeType@7561b48c
[DEBUG] 2018-10-31 20:07:43.242 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration LocalDate -> org.hibernate.type.LocalDateType@29b9ffad
[DEBUG] 2018-10-31 20:07:43.242 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration java.time.LocalDate -> org.hibernate.type.LocalDateType@29b9ffad
[DEBUG] 2018-10-31 20:07:43.244 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration LocalTime -> org.hibernate.type.LocalTimeType@4126a082
[DEBUG] 2018-10-31 20:07:43.244 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration java.time.LocalTime -> org.hibernate.type.LocalTimeType@4126a082
[DEBUG] 2018-10-31 20:07:43.245 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@3cc18353
[DEBUG] 2018-10-31 20:07:43.245 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration java.time.OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@3cc18353
[DEBUG] 2018-10-31 20:07:43.246 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration OffsetTime -> org.hibernate.type.OffsetTimeType@4ee99681
