[DEBUG] 2018-10-16 22:04:06.195 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2018-10-16 22:04:06.200 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2018-10-16 22:04:06.240 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2018-10-16 22:04:06.746 [main] Version - HHH000412: Hibernate Core {5.2.12.Final}
[INFO ] 2018-10-16 22:04:06.751 [main] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2018-10-16 22:04:06.846 [main] LocalXmlResourceResolver - Interpreting public/system identifier : [-//Hibernate/Hibernate Configuration DTD//EN] - [http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd]
[DEBUG] 2018-10-16 22:04:06.847 [main] LocalXmlResourceResolver - Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
[DEBUG] 2018-10-16 22:04:06.860 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2018-10-16 22:04:07.352 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2018-10-16 22:04:07.396 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2018-10-16 22:04:07.404 [main] Version - HCANN000001: Hibernate Commons Annotations {5.0.1.Final}
[DEBUG] 2018-10-16 22:04:07.459 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@19976a65
[DEBUG] 2018-10-16 22:04:07.459 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@19976a65
[DEBUG] 2018-10-16 22:04:07.463 [main] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@19976a65
[DEBUG] 2018-10-16 22:04:07.464 [main] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@4bc222e
[DEBUG] 2018-10-16 22:04:07.468 [main] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@102cec62
[DEBUG] 2018-10-16 22:04:07.468 [main] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@34b9f960
[DEBUG] 2018-10-16 22:04:07.480 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@14f232c4
[DEBUG] 2018-10-16 22:04:07.480 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@14f232c4
[DEBUG] 2018-10-16 22:04:07.481 [main] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@14f232c4
[DEBUG] 2018-10-16 22:04:07.482 [main] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@7ba8c737
[DEBUG] 2018-10-16 22:04:07.482 [main] BasicTypeRegistry - Adding type registration char -> org.hibernate.type.CharacterType@7ba8c737
[DEBUG] 2018-10-16 22:04:07.493 [main] BasicTypeRegistry - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@7ba8c737
[DEBUG] 2018-10-16 22:04:07.500 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@3336e6b6
[DEBUG] 2018-10-16 22:04:07.500 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@3336e6b6
[DEBUG] 2018-10-16 22:04:07.500 [main] BasicTypeRegistry - Adding type registration java.lang.Short -> org.hibernate.type.ShortType@3336e6b6
[DEBUG] 2018-10-16 22:04:07.501 [main] BasicTypeRegistry - Adding type registration integer -> org.hibernate.type.IntegerType@6f3187b0
[DEBUG] 2018-10-16 22:04:07.501 [main] BasicTypeRegistry - Adding type registration int -> org.hibernate.type.IntegerType@6f3187b0
[DEBUG] 2018-10-16 22:04:07.502 [main] BasicTypeRegistry - Adding type registration java.lang.Integer -> org.hibernate.type.IntegerType@6f3187b0
[DEBUG] 2018-10-16 22:04:07.510 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@44be0077
[DEBUG] 2018-10-16 22:04:07.511 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@44be0077
[DEBUG] 2018-10-16 22:04:07.512 [main] BasicTypeRegistry - Adding type registration java.lang.Long -> org.hibernate.type.LongType@44be0077
[DEBUG] 2018-10-16 22:04:07.513 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@3fce8fd9
[DEBUG] 2018-10-16 22:04:07.514 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@3fce8fd9
[DEBUG] 2018-10-16 22:04:07.514 [main] BasicTypeRegistry - Adding type registration java.lang.Float -> org.hibernate.type.FloatType@3fce8fd9
[DEBUG] 2018-10-16 22:04:07.517 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@37911f88
[DEBUG] 2018-10-16 22:04:07.517 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@37911f88
[DEBUG] 2018-10-16 22:04:07.517 [main] BasicTypeRegistry - Adding type registration java.lang.Double -> org.hibernate.type.DoubleType@37911f88
[DEBUG] 2018-10-16 22:04:07.521 [main] BasicTypeRegistry - Adding type registration big_decimal -> org.hibernate.type.BigDecimalType@4f4c4b1a
[DEBUG] 2018-10-16 22:04:07.527 [main] BasicTypeRegistry - Adding type registration java.math.BigDecimal -> org.hibernate.type.BigDecimalType@4f4c4b1a
[DEBUG] 2018-10-16 22:04:07.528 [main] BasicTypeRegistry - Adding type registration big_integer -> org.hibernate.type.BigIntegerType@4fa1c212
[DEBUG] 2018-10-16 22:04:07.528 [main] BasicTypeRegistry - Adding type registration java.math.BigInteger -> org.hibernate.type.BigIntegerType@4fa1c212
[DEBUG] 2018-10-16 22:04:07.532 [main] BasicTypeRegistry - Adding type registration string -> org.hibernate.type.StringType@352ff4da
[DEBUG] 2018-10-16 22:04:07.532 [main] BasicTypeRegistry - Adding type registration java.lang.String -> org.hibernate.type.StringType@352ff4da
[DEBUG] 2018-10-16 22:04:07.533 [main] BasicTypeRegistry - Adding type registration nstring -> org.hibernate.type.StringNVarcharType@295cf707
[DEBUG] 2018-10-16 22:04:07.535 [main] BasicTypeRegistry - Adding type registration ncharacter -> org.hibernate.type.CharacterNCharType@1b266842
[DEBUG] 2018-10-16 22:04:07.536 [main] BasicTypeRegistry - Adding type registration url -> org.hibernate.type.UrlType@bb9e6dc
[DEBUG] 2018-10-16 22:04:07.536 [main] BasicTypeRegistry - Adding type registration java.net.URL -> org.hibernate.type.UrlType@bb9e6dc
[DEBUG] 2018-10-16 22:04:07.537 [main] BasicTypeRegistry - Adding type registration Duration -> org.hibernate.type.DurationType@39d76cb5
[DEBUG] 2018-10-16 22:04:07.542 [main] BasicTypeRegistry - Adding type registration java.time.Duration -> org.hibernate.type.DurationType@39d76cb5
[DEBUG] 2018-10-16 22:04:07.581 [main] BasicTypeRegistry - Adding type registration Instant -> org.hibernate.type.InstantType@5d99c6b5
[DEBUG] 2018-10-16 22:04:07.581 [main] BasicTypeRegistry - Adding type registration java.time.Instant -> org.hibernate.type.InstantType@5d99c6b5
[DEBUG] 2018-10-16 22:04:07.583 [main] BasicTypeRegistry - Adding type registration LocalDateTime -> org.hibernate.type.LocalDateTimeType@a82c5f1
[DEBUG] 2018-10-16 22:04:07.583 [main] BasicTypeRegistry - Adding type registration java.time.LocalDateTime -> org.hibernate.type.LocalDateTimeType@a82c5f1
[DEBUG] 2018-10-16 22:04:07.584 [main] BasicTypeRegistry - Adding type registration LocalDate -> org.hibernate.type.LocalDateType@7fc4780b
[DEBUG] 2018-10-16 22:04:07.584 [main] BasicTypeRegistry - Adding type registration java.time.LocalDate -> org.hibernate.type.LocalDateType@7fc4780b
[DEBUG] 2018-10-16 22:04:07.589 [main] BasicTypeRegistry - Adding type registration LocalTime -> org.hibernate.type.LocalTimeType@1787bc24
[DEBUG] 2018-10-16 22:04:07.589 [main] BasicTypeRegistry - Adding type registration java.time.LocalTime -> org.hibernate.type.LocalTimeType@1787bc24
[DEBUG] 2018-10-16 22:04:07.596 [main] BasicTypeRegistry - Adding type registration OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@5a37d3ed
[DEBUG] 2018-10-16 22:04:07.596 [main] BasicTypeRegistry - Adding type registration java.time.OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@5a37d3ed
[DEBUG] 2018-10-16 22:04:07.597 [main] BasicTypeRegistry - Adding type registration OffsetTime -> org.hibernate.type.OffsetTimeType@52e7a6b2
[DEBUG] 2018-10-16 22:04:07.598 [main] BasicTypeRegistry - Adding type registration java.time.OffsetTime -> org.hibernate.type.OffsetTimeType@52e7a6b2
[DEBUG] 2018-10-16 22:04:07.601 [main] BasicTypeRegistry - Adding type registration ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@6986852
[DEBUG] 2018-10-16 22:04:07.601 [main] BasicTypeRegistry - Adding type registration java.time.ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@6986852
[DEBUG] 2018-10-16 22:04:07.607 [main] BasicTypeRegistry - Adding type registration date -> org.hibernate.type.DateType@421e361
[DEBUG] 2018-10-16 22:04:07.607 [main] BasicTypeRegistry - Adding type registration java.sql.Date -> org.hibernate.type.DateType@421e361
[DEBUG] 2018-10-16 22:04:07.610 [main] BasicTypeRegistry - Adding type registration time -> org.hibernate.type.TimeType@4b34fff9
[DEBUG] 2018-10-16 22:04:07.610 [main] BasicTypeRegistry - Adding type registration java.sql.Time -> org.hibernate.type.TimeType@4b34fff9
[DEBUG] 2018-10-16 22:04:07.611 [main] BasicTypeRegistry - Adding type registration timestamp -> org.hibernate.type.TimestampType@57c03d88
[DEBUG] 2018-10-16 22:04:07.612 [main] BasicTypeRegistry - Adding type registration java.sql.Timestamp -> org.hibernate.type.TimestampType@57c03d88
[DEBUG] 2018-10-16 22:04:07.612 [main] BasicTypeRegistry - Adding type registration java.util.Date -> org.hibernate.type.TimestampType@57c03d88
[DEBUG] 2018-10-16 22:04:07.619 [main] BasicTypeRegistry - Adding type registration dbtimestamp -> org.hibernate.type.DbTimestampType@45ac5f9b
[DEBUG] 2018-10-16 22:04:07.620 [main] BasicTypeRegistry - Adding type registration calendar -> org.hibernate.type.CalendarType@6c372fe6
[DEBUG] 2018-10-16 22:04:07.621 [main] BasicTypeRegistry - Adding type registration java.util.Calendar -> org.hibernate.type.CalendarType@6c372fe6
[DEBUG] 2018-10-16 22:04:07.621 [main] BasicTypeRegistry - Adding type registration java.util.GregorianCalendar -> org.hibernate.type.CalendarType@6c372fe6
[DEBUG] 2018-10-16 22:04:07.627 [main] BasicTypeRegistry - Adding type registration calendar_date -> org.hibernate.type.CalendarDateType@4167d97b
[DEBUG] 2018-10-16 22:04:07.630 [main] BasicTypeRegistry - Adding type registration locale -> org.hibernate.type.LocaleType@57ad2aa7
[DEBUG] 2018-10-16 22:04:07.630 [main] BasicTypeRegistry - Adding type registration java.util.Locale -> org.hibernate.type.LocaleType@57ad2aa7
[DEBUG] 2018-10-16 22:04:07.633 [main] BasicTypeRegistry - Adding type registration currency -> org.hibernate.type.CurrencyType@275bf9b3
[DEBUG] 2018-10-16 22:04:07.633 [main] BasicTypeRegistry - Adding type registration java.util.Currency -> org.hibernate.type.CurrencyType@275bf9b3
[DEBUG] 2018-10-16 22:04:07.636 [main] BasicTypeRegistry - Adding type registration timezone -> org.hibernate.type.TimeZoneType@2049a9c1
[DEBUG] 2018-10-16 22:04:07.636 [main] BasicTypeRegistry - Adding type registration java.util.TimeZone -> org.hibernate.type.TimeZoneType@2049a9c1
[DEBUG] 2018-10-16 22:04:07.637 [main] BasicTypeRegistry - Adding type registration class -> org.hibernate.type.ClassType@5495333e
[DEBUG] 2018-10-16 22:04:07.637 [main] BasicTypeRegistry - Adding type registration java.lang.Class -> org.hibernate.type.ClassType@5495333e
[DEBUG] 2018-10-16 22:04:07.638 [main] BasicTypeRegistry - Adding type registration uuid-binary -> org.hibernate.type.UUIDBinaryType@7ef27d7f
[DEBUG] 2018-10-16 22:04:07.638 [main] BasicTypeRegistry - Adding type registration java.util.UUID -> org.hibernate.type.UUIDBinaryType@7ef27d7f
