[DEBUG] 2018-10-16 22:17:15.614 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2018-10-16 22:17:15.618 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2018-10-16 22:17:15.627 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2018-10-16 22:17:15.764 [main] Version - HHH000412: Hibernate Core {5.2.12.Final}
[INFO ] 2018-10-16 22:17:15.765 [main] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2018-10-16 22:17:15.832 [main] LocalXmlResourceResolver - Interpreting public/system identifier : [-//Hibernate/Hibernate Configuration DTD//EN] - [http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd]
[DEBUG] 2018-10-16 22:17:15.833 [main] LocalXmlResourceResolver - Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
[DEBUG] 2018-10-16 22:17:15.844 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2018-10-16 22:17:16.201 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2018-10-16 22:17:16.242 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2018-10-16 22:17:16.253 [main] Version - HCANN000001: Hibernate Commons Annotations {5.0.1.Final}
[DEBUG] 2018-10-16 22:17:16.277 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@6b6776cb
[DEBUG] 2018-10-16 22:17:16.278 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@6b6776cb
[DEBUG] 2018-10-16 22:17:16.278 [main] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@6b6776cb
[DEBUG] 2018-10-16 22:17:16.279 [main] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@53b7f657
[DEBUG] 2018-10-16 22:17:16.280 [main] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@52e7a6b2
[DEBUG] 2018-10-16 22:17:16.284 [main] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@2d9caaeb
[DEBUG] 2018-10-16 22:17:16.285 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@4b5189ac
[DEBUG] 2018-10-16 22:17:16.285 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@4b5189ac
[DEBUG] 2018-10-16 22:17:16.289 [main] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@4b5189ac
